-0.654653670707977,-0.436435780471985,-0.436435780471985,0.218217890235993,0.218217890235992,0.218217890235992,0.218217890235992
0,0,0,0,0,0,-1
0,0,0,0,0,-1,0
0,0,0,0,-1,0,0
0,0,0,-1,0,0,0
0,-1,0,0,0,0,0
-1,0,0,0,0,0,0
-0.74535599249993,-0.596284793999944,0,0.149071198499986,0.149071198499986,0.149071198499986,0.149071198499986
-0.277350098112615,0,0,-0.832050294337844,0.277350098112615,0.277350098112615,0.277350098112614
-0.447213595499958,0,0,-0.447213595499958,-0.447213595499958,0.447213595499958,0.447213595499958
-0.654653670707977,0,0,-0.218217890235992,-0.218217890235992,-0.218217890235992,0.654653670707977
0,1,0,0,0,0,0
0,0,1,0,0,0,0
0,0,0,0,1,0,0
0,0,0,0,0,1,0
0,0,0,0,0,0,1
0.74535599249993,0.596284793999944,0,-0.149071198499986,-0.149071198499986,-0.149071198499986,-0.149071198499986
0.277350098112614,0,0,0.832050294337844,-0.277350098112615,-0.277350098112615,-0.277350098112615
0.447213595499958,0,0,0.447213595499958,0.447213595499958,-0.447213595499958,-0.447213595499958
0.654653670707977,0,0,0.218217890235992,0.218217890235992,0.218217890235992,-0.654653670707977
1,0,0,0,0,0,0
